label,mode,stake,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
PROB s=0.05 p=0.62 mo=None,SIMPLE,0.05,0.62,,1514,66.8,-2.03,-39.0,-119.5,119.0,5,1.49,-9999.0,-9999.0
PROB s=0.05 p=0.65 mo=2.0,SIMPLE,0.05,0.65,2.0,1240,68.3,-1.41,45.5,-77.2,92.7,5,1.46,-0.833,-0.735
PROB s=0.05 p=0.65 mo=3.0,SIMPLE,0.05,0.65,3.0,1240,68.3,-1.41,45.5,-77.2,92.7,5,1.46,-0.833,-0.735
PROB s=0.05 p=0.65 mo=5.0,SIMPLE,0.05,0.65,5.0,1240,68.3,-1.41,45.5,-77.2,92.7,5,1.46,-0.833,-0.735
PROB s=0.05 p=0.65 mo=None,SIMPLE,0.05,0.65,,1240,68.3,-1.41,45.5,-77.2,92.7,5,1.46,-0.833,-0.735
PROB s=0.05 p=0.7 mo=2.0,SIMPLE,0.05,0.7,2.0,881,71.2,0.2,219.3,9.6,62.6,5,1.42,0.154,0.507
PROB s=0.05 p=0.7 mo=3.0,SIMPLE,0.05,0.7,3.0,881,71.2,0.2,219.3,9.6,62.6,5,1.42,0.154,0.507
PROB s=0.05 p=0.7 mo=5.0,SIMPLE,0.05,0.7,5.0,881,71.2,0.2,219.3,9.6,62.6,5,1.42,0.154,0.507
PROB s=0.05 p=0.7 mo=None,SIMPLE,0.05,0.7,,881,71.2,0.2,219.3,9.6,62.6,5,1.42,0.154,0.507
CPROB s=0.01 p=0.55 l=2 cmo=3.0,COMBO,0.01,0.55,1.8,648,40.6,-3.42,156.9,-21.6,35.7,12,2.42,-0.604,-14.238
CPROB s=0.01 p=0.55 l=2 cmo=5.0,COMBO,0.01,0.55,1.8,651,40.7,-2.28,170.5,-14.8,30.6,12,2.44,-0.483,-10.259
CPROB s=0.01 p=0.55 l=3 cmo=3.0,COMBO,0.01,0.55,1.8,648,40.4,1.11,214.7,7.3,30.7,12,2.54,0.239,4.978
