label,mode,stake,edge,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
S s=0.01 e=0.05 p=0.65 mo=3.0,SIMPLE,0.01,0.05,0.65,3.0,193,64.2,-2.73,189.5,-5.2,12.9,4,1.52,-0.262,-12.528
S s=0.01 e=0.05 p=0.65 mo=None,SIMPLE,0.01,0.05,0.65,,193,64.2,-2.73,189.5,-5.2,12.9,4,1.52,-0.262,-12.528
S s=0.02 e=0.02 p=0.5 mo=2.0,SIMPLE,0.02,0.02,0.5,2.0,1211,63.3,-0.09,195.5,-2.2,47.0,5,1.6,-0.048,-0.339
S s=0.02 e=0.02 p=0.5 mo=3.0,SIMPLE,0.02,0.02,0.5,3.0,1257,62.8,-0.0,199.7,-0.1,50.9,5,1.62,-0.003,-0.0
S s=0.02 e=0.02 p=0.5 mo=None,SIMPLE,0.02,0.02,0.5,,1257,62.8,-0.0,199.7,-0.1,50.9,5,1.62,-0.003,-0.0
S s=0.02 e=0.02 p=0.55 mo=2.0,SIMPLE,0.02,0.02,0.55,2.0,1152,64.4,0.67,232.0,16.0,32.8,4,1.58,0.489,3.175
S s=0.02 e=0.02 p=0.55 mo=3.0,SIMPLE,0.02,0.02,0.55,3.0,1152,64.4,0.67,232.0,16.0,32.8,4,1.58,0.489,3.175
S s=0.02 e=0.02 p=0.55 mo=None,SIMPLE,0.02,0.02,0.55,,1152,64.4,0.67,232.0,16.0,32.8,4,1.58,0.489,3.175
S s=0.02 e=0.02 p=0.6 mo=2.0,SIMPLE,0.02,0.02,0.6,2.0,974,65.7,0.11,204.6,2.3,37.9,5,1.53,0.06,0.47
S s=0.02 e=0.02 p=0.6 mo=3.0,SIMPLE,0.02,0.02,0.6,3.0,974,65.7,0.11,204.6,2.3,37.9,5,1.53,0.06,0.47
S s=0.02 e=0.02 p=0.6 mo=None,SIMPLE,0.02,0.02,0.6,,974,65.7,0.11,204.6,2.3,37.9,5,1.53,0.06,0.47
S s=0.02 e=0.02 p=0.65 mo=2.0,SIMPLE,0.02,0.02,0.65,2.0,746,67.3,-0.37,189.1,-5.5,40.2,4,1.49,-0.136,-1.463
S s=0.02 e=0.02 p=0.65 mo=3.0,SIMPLE,0.02,0.02,0.65,3.0,746,67.3,-0.37,189.1,-5.5,40.2,4,1.49,-0.136,-1.463
S s=0.02 e=0.02 p=0.65 mo=None,SIMPLE,0.02,0.02,0.65,,746,67.3,-0.37,189.1,-5.5,40.2,4,1.49,-0.136,-1.463
S s=0.02 e=0.03 p=0.5 mo=2.0,SIMPLE,0.02,0.03,0.5,2.0,724,66.7,4.43,343.2,71.6,16.3,6,1.58,4.387,24.415
S s=0.02 e=0.03 p=0.5 mo=3.0,SIMPLE,0.02,0.03,0.5,3.0,749,66.4,4.7,363.4,81.7,16.2,4,1.6,5.051,26.08
S s=0.02 e=0.03 p=0.5 mo=None,SIMPLE,0.02,0.03,0.5,,749,66.4,4.7,363.4,81.7,16.2,4,1.6,5.051,26.08
S s=0.02 e=0.03 p=0.55 mo=2.0,SIMPLE,0.02,0.03,0.55,2.0,706,67.3,4.9,355.8,77.9,14.6,5,1.57,5.328,27.449
S s=0.02 e=0.03 p=0.55 mo=3.0,SIMPLE,0.02,0.03,0.55,3.0,706,67.3,4.9,355.8,77.9,14.6,5,1.57,5.328,27.449
S s=0.02 e=0.03 p=0.55 mo=None,SIMPLE,0.02,0.03,0.55,,706,67.3,4.9,355.8,77.9,14.6,5,1.57,5.328,27.449
S s=0.02 e=0.03 p=0.6 mo=2.0,SIMPLE,0.02,0.03,0.6,2.0,624,68.8,4.89,337.9,69.0,16.8,4,1.53,4.118,26.208
S s=0.02 e=0.03 p=0.6 mo=3.0,SIMPLE,0.02,0.03,0.6,3.0,624,68.8,4.89,337.9,69.0,16.8,4,1.53,4.118,26.208
S s=0.02 e=0.03 p=0.6 mo=None,SIMPLE,0.02,0.03,0.6,,624,68.8,4.89,337.9,69.0,16.8,4,1.53,4.118,26.208
S s=0.02 e=0.03 p=0.65 mo=2.0,SIMPLE,0.02,0.03,0.65,2.0,517,68.1,1.48,230.6,15.3,19.4,4,1.5,0.79,7.459
S s=0.02 e=0.03 p=0.65 mo=3.0,SIMPLE,0.02,0.03,0.65,3.0,517,68.1,1.48,230.6,15.3,19.4,4,1.5,0.79,7.459
